NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05000229,Residual Symptoms After Coronavirus Disease (COVID-19) in Lithuanian Population,https://clinicaltrials.gov/study/NCT05000229,Post-Covid,UNKNOWN,"The aim of the study is to describe the post-covid-19 syndrome in Lithuanian population regarding the remaining symptoms and their impact on physical functioning, work ability and needs of rehabilitation.",NO,Post-Covid Syndrome,,"Description of post-covid-19 syndrome in Lithuanian population, Post-covid-19 syndrome in Lithuanian population: prevalence, symptomatology and needs of rehabilitation, 2021.05.04 - 2022.12.31","Assessment of medical premorbid status in post-covid-19 syndrome, The severity of comorbidities in terms of self-reported medical diagnoses and medication, 2021.05.04 - 2022.12.31",,Lithuanian University of Health Sciences,Karolinska Institutet,ALL,"ADULT, OLDER_ADULT",,5000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,001/Version 1,2021-05-04,2022-12-31,2022-12-31,2021-08-11,,2021-08-11,"Lithuanian University of Health Sciences, Kaunas, 44307, Lithuania",
NCT04887129,Testing for COVID-19 in High Risk Children With Intellectual and Developmental Disabilities (COV-IDD),https://clinicaltrials.gov/study/NCT04887129,,COMPLETED,"The purpose of this study is to understand how to prevent COVID-19 spread in a school like the Mary Cariola Center (MCC) in Rochester, NY by answering questions like these: how do activities in the school alter chances of infection? Are there people infected with the COVID-19 virus who have no symptoms? How is spread of COVID-19 affected by vaccination rates? Is there any hesitancy to get the vaccine and what are the reasons? This information will be used to help keep the school open and the students and staff safe.Eligible participants are those that work at the Mary Cariola Center (MCC) and interact with the students at MCC who have a high risk of infection from COVID-19.The study lasts for up to 16 months.",YES,Covid19,DIAGNOSTIC_TEST: COVID-19 RT-PCR test|OTHER: COVID-19 Vaccine Education Campaign,"Number Infected With COVID-19, Number of students or staff who test positive for COVID-19 at least once using a nasal swab test., 16 months|Change in the Percentage of Participants Reporting Anxiety, Anxiety will be measured using the PROMIS-29 assessment. Participants were classified within normal range, mild, moderate or severe. They were counted as having anxiety if they were moderate or severe., baseline to 16 months|Change in the Percentage of Participants Classified as Depressed, Depression was measured using the PROMIS-29 assessment. Students or staff were classified within normal range, mild, moderate or severe. They were counted as having depression if they were moderate or severe., baseline to 16 months|Change in the Percentage of Participants Classified With Fatigue, Fatigue will be measured using the PROMIS-29 assessment. Participants were classified within normal range, mild, moderate or severe. They were counted as having fatigue if they were moderate or severe., baseline to 16 months|Change in Percentage of Participants With Deficits in Social Functioning, Social functioning will be measured using the PROMIS-29 assessment. Participants were classified within normal range, mild, moderate or severe. They were counted as having social functioning deficits if they were moderate or severe., baseline to 16 months",,,University of Rochester,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),ALL,"CHILD, ADULT, OLDER_ADULT",NA,392,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,STUDY00005294|OT2HD107553-01,2021-05-03,2023-08-31,2024-03-31,2021-05-14,2025-02-03,2025-02-03,"Mary Cariola Center, Rochester, New York, 14620, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/29/NCT04887129/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/29/NCT04887129/SAP_001.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/29/NCT04887129/ICF_002.pdf"
NCT04565392,Remotely-conducted Trial of Famotidine vs Placebo for Patients at Home With Coronavirus (COVID) of 2019 (COVID-19),https://clinicaltrials.gov/study/NCT04565392,Pepcid4COV19,WITHDRAWN,"Kit for reading vital signs (thermometer, wrist blood pressure device, finger oximeter) and with study drug is overnighted to qualified subjects with early symptoms of COVID-19. Subjects take a 20-milligram (mg) tab of famotidine or matching placebo twice a day, increase to 1 tablet every 8 hours if not better the 2nd day, and continue same for 30 days. Vital signs, symptoms, compliance etc are rechecked daily for the 30 days and once again 60 days after starting study drug. Consent, baseline, and follow-up are handled via internet plus calls/texts/virtual visits from study nurse or doctor as needed for clarifications and compliance.",NO,Covid19,DRUG: Famotidine 20 milligram tablet,"Clinical Course Binary Outcome, Proportion of patients who self-rate as 6 on Patients Global Impression or are hospitalized for COVID-19 or similar symptoms or seek medical help for worsening symptoms, or get short of breath and have oxygen saturation below 90%, or die of COVID-19, 30th (last) day of treatment, or if discontinues treatment early, last observation carried forward|Serious Adverse Events, Proportion of patients who report a serious adverse event, i.e., one that causes hospitalization or death, 30th (last) day of treatment, or if discontinues treatment early, last observation carried forward]","Time to symptomatic recovery, Proportion who answer the daily Global Recovery Question affirmatively: ""Have you returned to your usual health (before your COVID-19 illness)? yes/no"" if verified on the same day's evaluation by at least one category of improvement in each of the symptoms endorsed at baseline on the SCL18 (see Outcome 4)., There is no baseline rating. Outcome is rated on the 30th (last) day of treatment, or if discontinues treatment early, last observation carried forward|SCL18 (self-check list of 18 symptoms of COVID-19), a) mean change in total (18-item) score since baseline; b) proportion self-rating each item (symptom) at a lower or 0 intensity value than at baseline; c) subtotal on: Major Acute Physical Symptoms (SCL18 #2, Pains in heart or chest, #4 Nausea, vomiting or upset stomach, #6 Sore throat, #7 Cough, #9 Chills or shivering, #11 Diarrhea, or #13, Trouble getting your breath), d) physical symptoms (first 13 items of SCL18), f) cognitive symptoms (last 5 items of SCL18). Each item is rated as (0) not at all, (1) a little bit (2) moderately, (3) quite a bit, or (4) extremely, Change from baseline at 30th (last) day of treatment, or if discontinues treatment early, last observation carried forward|Patient's Global Impression of Change, Proportions rating Patient's Global Impression of Change: as 1-4; as 1-3; as 1-2; as 6 (answer set: 1, very much improved, 2/much improved, 3/moderately improved, 4/minimally improved, 5/about the same, 6/worse), There is no rating at baseline. Outcome is for the 30th (last) day of treatment, or if discontinues treatment early, last observation carried forward|Adverse Events, Proportions of patients reporting new or worsening symptoms: a) any adverse event; b) the expected adverse events for famotidine (headache, dizziness, constipation, diarrhea); c) other adverse events, grouped by type, 30th (last) day of treatment, or if discontinues treatment early, last observation carried forward|Day-60 Follow-up, Each of the same endpoints as above but evaluated 30 days after the end of treatment, 60 days after the start of treatment",,drpykessupplements.com,,ALL,"ADULT, OLDER_ADULT",PHASE4,0,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",Pykonsult 201,2021-05-01,2021-11-01,2022-01-31,2020-09-25,,2021-12-20,"Pykonsult headquarters, New Fairfield, Connecticut, 06812, United States",
NCT04349592,Hydroxychloroquine With or Without Azithromycin for Virologic Cure of COVID-19,https://clinicaltrials.gov/study/NCT04349592,,COMPLETED,"Q-PROTECT is a placebo controlled randomized trial (RCT) to ascertain the efficacy of hydroxychloroquine (HC) alone or, in combination with azithromycin (AZ), in reducing viral load in patients with COVID 19.",NO,Covid19,DRUG: Hydroxychloroquine|DRUG: Azithromycin|OTHER: Placebo Tablet|OTHER: Placebo capsules,"Proportion of virologically cured (PCR-negative status) as assessed on day six, Days, Day 6","virologic cure on other study days, Days, Day14 and Day 21|virologic semiquantitative analysis of changing viral load, Days, Day 1 to Day 21|proportion of initially symtomatic subjects with disappearance of clinical symptoms, Days, Day14 and Day 21|proportion of initially asymtomatic subjects with appearance of new clinical symptoms, Days, Day14 and Day 21|proportions of subjects with potentially medication- related adverse events, grades, 7 day",,Hamad Medical Corporation,,ALL,"ADULT, OLDER_ADULT",NA,456,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",MRC-05-001,2020-04-14,2020-08-14,2020-08-30,2020-04-16,,2021-02-23,"Hamad Medical Corporation, Doha, 3050, Qatar",
NCT04909892,"Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells to Treat Post COVID-19 ""Long Haul"" Pulmonary Compromise",https://clinicaltrials.gov/study/NCT04909892,,WITHDRAWN,"This is a Phase 1b study to assess the safety and efficacy of COVI-MSC in treating post COVID-19 ""long haulers"" with pulmonary compromise.",NO,Covid19,BIOLOGICAL: COVI-MSC,"Change in 6-Minute Walk Distance (6MWD) at Day 60, Change in 6MWD at Day 60, Baseline to Day 60","Change in 6MWD at Day 30, Change in 6MWD at Day 30, Baseline to Day 30|Change in Pulmonary Function Tests (PFTs), Change in PFTs at Days 30 and 60, as assessed using Forced Vital Capacity, Forced Expiratory Volume, Total Lung Capacity, and diffusing capacity for carbon monoxide (DLCO), Baseline to Day 30 and Day 60|Change in oxygenation, Change in oxygenation at Days 30 and 60, as measured using SpO2/FiO2 ratio, Baseline to Day 30 and Day 60|Change in biomarker levels, Change in biomarker levels: plasma lipocalcin-2, matrix metalloproteinase-7, hepatocyte growth factor, Baseline through Day 30",,"Sorrento Therapeutics, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,0,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,MSC-PLH-201,2021-08,2022-01,2022-01,2021-06-02,,2021-09-16,,
NCT04446429,Anti-Androgen Treatment for COVID-19,https://clinicaltrials.gov/study/NCT04446429,,COMPLETED,This study is intended to explore the possible protective role of anti-androgens in SARS-CoV-2 infection,YES,COVID-19|SARS-CoV2|Androgenetic Alopecia|Prostate Cancer|Benign Prostatic Hyperplasia|SARS (Severe Acute Respiratory Syndrome),DRUG: Proxalutamide|OTHER: Standard of Care,"COVID-19 Hospitalization, Percentage of subjects hospitalized due to COVID-19, 30 days",,,"Applied Biology, Inc.",,MALE,"ADULT, OLDER_ADULT",NA,268,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",AB-DRUG-SARS-004,2020-10-21,2020-12-24,2021-01-21,2020-06-24,2021-02-03,2021-12-10,"Corpometria Institute, Brasilia, 70390-150, Brazil","Study Protocol and Statistical Analysis Plan: Study Protocol (English Translation), https://cdn.clinicaltrials.gov/large-docs/29/NCT04446429/Prot_SAP_001.pdf"
NCT04407429,Vienna Versus SARS-CoV-2 Virus Study,https://clinicaltrials.gov/study/NCT04407429,VIVI,UNKNOWN,This study examines the seroprevalence against SARS-CoV-2 in health care workers and patients at the Vienna General Hospital.,NO,SARS-CoV-2|COVID-19,DIAGNOSTIC_TEST: Laboratory Analyses,"Prevalence of antibody status in healthcare workers and in patients admitted for non-COVID-19 related symptoms over time, 1 year","Incidence rate of sero-conversion, 1 year|Identification of risk markers/factors for SARS-CoV-2 infection, 1 year",,Medical University of Vienna,,ALL,"CHILD, ADULT, OLDER_ADULT",,12000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,EK 1387/2020,2020-05-27,2021-06-27,2021-06-27,2020-05-29,,2020-05-29,"Medical University of Vienna, Vienna, 1090, Austria",
NCT05449392,Topical Antibacterial Agents for Prevention of COVID-19,https://clinicaltrials.gov/study/NCT05449392,,COMPLETED,The primary objective of this study is to determine whether intranasal application of aminoglycoside (Neosporin) increases local nasal innate immune responses compared to placebo control in healthy participants.,NO,COVID-19|SARS-CoV2 Infection,DRUG: Neosporin|OTHER: Vaseline,"Change in in interferon response profile from nasal samples collected measured by a multiplex ELISA assay, Measurement of interferon response from samples collected using a multiplex ELISA to detect which interferon-stimulated genes (ISGs) are present in sample. ISGs measured include Irf7, Oas1a, Oasl2, Cxcl9, and CxcL10 as well as other corresponding interferons such as Ifna, ifnb, and ifnl, From baseline up to Month 1|Change in in interferon response gene expression profile from nasal samples collected measured by RT-PCR, Measurement of interferon response from samples collected using RT-PCR to detect expression of ISGs. ISGs measured include Irf7, Oas1a, Oasl2, Cxcl9, and CxcL10 as well as other corresponding interferons such as Ifna, ifnb, and ifnl, From baseline up to Month 1|Change in RNA expression profile of ISGs using RNAseq assay, In a subset of subjects in both arms, RNAseq will be performed to assess the presence and quantity of RNA on samples collected at Day 1 and Day 8. ISGs assessed include Irf7, Oas1a, Oasl2, Cxcl9, and CxcL10 as well as other corresponding interferons such as Ifna, ifnb, and ifnl, Day 1and Day 8|Change in RNA expression profile of ISGs using single cell RNAseq assay, In a subset of subjects in both arms, single cell RNAseq will be performed to assess the presence and quantity of RNA on single cells from samples collected at Day 1 and Day 8. ISGs assessed include Irf7, Oas1a, Oasl2, Cxcl9, and CxcL10 as well as other corresponding interferons such as Ifna, ifnb, and ifnl, Day 1 and Day 8",,,Yale University,Bill and Melinda Gates Foundation,ALL,ADULT,PHASE1,67,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2000032248|INV-038276,2022-09-01,2023-09-22,2023-09-22,2022-07-08,,2023-10-03,"Yale University, New Haven, Connecticut, 06520, United States",
NCT04554992,Convalescent Plasma for the Treatment of COVID-19 (Coronavirus Disease 2019),https://clinicaltrials.gov/study/NCT04554992,,UNKNOWN,"This pilot, prospective study will assess the safety and efficacy of COVID-19 convalescent plasma versus standard care as treatment for severe and/or critical COVID-19 (as defined in the inclusion criteria) in adults 18 years of age and older. A total of 350 eligible subjects will receive a transfusion of anti-SARS-CoV2 ( severe acute respiratory syndrome) convalescent plasma.",NO,Covid19,BIOLOGICAL: COVID 19 Convalescent Plasma,"Cumulative incidence of serious adverse events related to the treatment intervention., Total number of grade 3 and above throughout study period, up to 60 days post-transfusion|Mortality at Day 28 post-hospital admission., All cause mortality at day 28, up to 28 days post-transfusion","Length of hospital stay, Total number of days subjects are hospitalized during study period, up to 60 days post-transfusion|Length of supplemental oxygen requirement., Total number of days subjects requires supplemental oxygen during study period, up to 60 days post-transfusion|Length of mechanical ventilation requirement., Total number of days subjects require mechanical ventilation during study period, up to 60 days post-transfusion|Length of ICU stay, Total number of days subject is subject stays in the ICU, up to 60 days post-transfusion",,The Methodist Hospital Research Institute,,ALL,"ADULT, OLDER_ADULT",PHASE1,350,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,00025121,2020-03-20,2022-06,2022-06,2020-09-18,,2020-11-02,"Houston Methodist Hopsital, Houston, Texas, 77030, United States",
NCT04682873,"A Clinical Study to Assess the Efficacy and Safety of Amizon® Max in the Treatment of Moderate Covid-19, Caused by the SARS-CoV-2 Virus",https://clinicaltrials.gov/study/NCT04682873,,COMPLETED,"Adult female and male patients, hospitalized with Covid-19 infection (confirmed by reverse transcription polymerase chain reaction \[RT-PCR\]), will be screened for participation in this prospective, multi-center, double-blind, randomised, placebo-controlled trial.Enrolled patients will be randomized (1:1) into 2 treatment groups: Group 1 will receive the active treatment with Amizon® Max (international nonproprietary name enisamium iodide), one capsule (each containing 500 mg of enisamium iodide) 4 times daily every 6 hours for 7 days; patients in treatment Group 2 will receive a matching placebo capsule, 4 times daily every 6 hours for 7 days. Patient observation and follow-up are planned for 29 days, unless discharged before Day 29.The effect of treatment on Covid-19 will be evaluated by time from day of randomization to an increase of at least two points (from the status at randomization) on the severity rating scale (SR), the Time to Clinical Recovery (TTCR) of main Covid-19 symptoms / complications and the Sum of Severity Rating from Day 2 to Day 15 (SSR-15). Safety and tolerability of the study drug will be evaluated based on the intensity and course of adverse events (Es).Enisamium iodide is an antiviral small molecule. Enisamium inhibits replication of alpha- and beta- coronaviruses (human coronavirus NL63 and SARS-CoV-2, respectively) and influenza virus A and B. Mechanism of action against SARS-CoV-2 includes the direct inhibition of the viral RNA polymerase.",NO,Covid-19 Disease,DRUG: Enisamium Iodide|DRUG: Placebo,"Efficacy - Time from day of randomization to an improvement of at least two points (from the status at randomization) on severity rating (SR) scale in days, Time from day of randomization to an increase of at least two points (from the status at randomization) on the following severity rating (SR) scale in days:1. - Death2. - Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO)3. - Hospitalized, on non-invasive ventilation or high flow oxygen devices4. - Hospitalized, requiring supplemental oxygen5. - Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (Covid-19 related or otherwise)6. - Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care7. - Not hospitalized, limitation on activities and/or requiring home oxygen8. - Not hospitalized, no limitations on activities, Day 0 to Day 29","Efficacy - Time to recovery (TTR) from Day 1 (randomization and start of IMP treatment), Time to recovery (TTR) from day of randomisation: Day of recovery is defined as the first day on which the subject satisfies one of the following 3 categories from the ordinal scale (same scale being used as for the primary endpoint):6 - Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care 7 - Not hospitalized, limitation on activities and/or requiring home oxygen 8 - Not hospitalized, no limitations on activities, Day 0 to Day 29|Time to Clinical Recovery (TTCR) of main Covid-19 symptoms/complications or discharge, Time to Clinical Recovery (TTCR) of main Covid-19 symptoms/complications or discharge, whichever comes first: TTCR is defined as the time (Days) from randomisation (active or placebo) until normalization of fever, respiratory rate, oxygen saturation, and cough, sustained for at least 48 hours. Normalization and alleviation criteria:* Fever ≤37.2°C* Respiratory rate - ≤24/minute on room air* Oxygen saturation - \>94% on room air* Cough: absent, Day 0 to Day 29|Sum of Severity Rating from Day 2 to Day 15 (SSR-15), Sum of Severity Rating from Day 2 to Day 15 (SSR-15): Daily reporting of severity rating on an 8-point ordinal scale. The ordinal scale is an assessment of the clinical status starting from initiation of study treatment (active or placebo) from Day 2 to Day 15. The scale from 1 to 8 as defined for the primary endpoint., Day 2 to Day 15|Severity Rating on Day 15 (SR-15):, Severity Rating on Day 15 (SR-15): Reporting of severity rating on Day 15 or Day of discharge whichever occurs first on an 8-point ordinal scale. The ordinal scale is an assessment of the clinical status. The scale is defined from 1 (Death) to 8 (Not hospitalized, no limitations on activities) as defined for the primary endpoint., Day 15 or Day of discharge (whichever occurs first)|Days Alive and Out of Hospital until Day 15 (DAOH-14), The number of days alive and discharged from hospital until day 15 will be calculated for each group and the treatment differences displayed., Day 2 to Day 15|Proportion of Subjects Discharged by Day 8, 15, 22, 29, The proportion of subjects discharged by Day 8, 15, 22 and 29 will be displayed for the two treatment groups., Day 0 to Day 29|Incidence of non-invasive ventilation, The analysis of the incidences of non-invasive ventilation will be performed by logistic regression model with the binary outcome as dependent variable, age as covariate, baseline severity rating, centre, treatment and centre x treatment as factors., Day 0 to Day 29|Days until non-invasive ventilation, The days until non-invasive ventilation will be calculated and the treatment differences displayed using the stratified log-rank test., Day 0 to Day 29|Total days of non-invasive ventilation, The total days of non-invasive ventilation will be evaluated by the generalized linear model based on the Poisson distribution and including age as covariate, baseline severity rating, centre, treatment and centre x treatment as factors into the model., Day 0 to Day 29|Incidence of invasive mechanical ventilation or ECMO, The analysis of the incidence rate of invasive mechanical ventilation will be performed by logistic regression model with the binary outcome as dependent variable, age as covariate, baseline severity rating, centre, treatment and centre x treatment as factors., Day 0 to Day 29|Days until invasive mechanical ventilation or ECMO, The days until invasive mechanical ventilation or ECMO will be calculated and the treatment differences displayed using the stratified log-rank test., Day 0 to Day 29|Course of qualitative RT-PCR viral test results, The course of qualitative RT-PCR virus test results will be evaluated by logistic regression with virus test as dependent variable, age as covariate, baseline severity rating, day, centre, treatment as fixed factors. In addition the interaction terms treatment x day and treatment x centre will be included as interaction term as fixed effect into the model. The treatment x day interaction term should detect any differences between treatments in the time until virus deletion., Day 0 to Day 29|Viral test evaluation - Proportion of subjects free of SARS-CoV-2, Proportion of subjects SARS-CoV-2 free pharyngeal swabs / sputum samples (virus-free) on Days 8, 15, 22, 29, Days 0, 8, 15, 22, 29|Overall assessment of efficacy (patient and investigator), The investigator and the subject (each separately) will assess the overall (global) efficacy of the IMP, based on the change in symptoms using a Four-point verbal rating scale (VRS-4) (0=no symptoms / cured, 1=symptoms improved compared to Visit 1, 2=symptoms unchanged compared to Visit 1, 3=symptoms deteriorated compared to Visit 1)., Day 29 or Day of discharge (whichever occurs first)|Adverse events (AEs), Evaluate AEs by time of onset, actions taken, pattern of occurrence, and outcome, Day 0 to Day 29|Overall assessment of tolerability of treatment (patient and investigator), Difference in the global tolerability judgement scores on Day of Discharge from hospital (or Day 29, end of trial, if not discharged earlier).The investigator and the subject (each separately) will assess the overall (global) tolerability of the IMP using a five-point rating scale (0=very good, 1=good, 2=moderate, 3=poor, 4=very poor)., Day 29 or Day of discharge (whichever occurs first)",,"Joint Stock Company ""Farmak""",,ALL,"ADULT, OLDER_ADULT",PHASE3,592,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",FK/FAV00А-CoV/2020,2020-05-15,2021-03-26,2021-03-26,2020-12-24,,2021-12-29,"Municipal Enterprise ""Volyn Regional Clinical Hospital"" of Volyn Regional Council, Dept. Pulmonology, Lutsk, Volynsk, 43024, Ukraine|Municipal Non-Commercial Enterprise 'City Clinical Hospital #3' Chernivtsi City Council, Dept. Therapeutics #1, Dept. Therapeutics #2, Higher State Educational Institution of Ukraine 'Bukovinian State University', Chernivtsi, 58002, Ukraine|Municipal Non-Commercial Enterprise 'Regional Clinical Infection Hospital Ivano-Frankivsk Regional Council', Dept. #2, Ivano-Frankivsk National Medical University, Ivano-Frankivsk, 76007, Ukraine|Municipal Non-Commercial Enterprise 'Regional Clinical Hospital Ivano-Frankivsk Regional Council', Dept. Allergology, Ivano-Frankivsk, 76008, Ukraine|Municipal Non-Commercial Enterprise 'City Clinical Hospital #1 Ivano-Frankivsk City Council', Dept. Therapeutics, Ivano-Frankivsk, 76018, Ukraine|Municipal Non-Commercial Enterprise Kharkiv Regional Council 'Regional Clinical Infection Hospital', 1st Department, Kharkiv National Medical University, Chair of Infectious Diseases, Kharkiv, 61096, Ukraine|Municipal Non-Commercial Enterprise 'Olexandrivska Clinical Hospital of Kyiv' Executive Authority of Kyiv City Council, Dept. Infections, Kyiv, 01601, Ukraine|Municipal Non-Commercial Enterprise ""Kyiv City Clinical Hospital #9"" Executive Authority of Kyiv City Council, Dept. Infections, Kyiv, 04112,, Ukraine|Municipal Non-Commercial Enterprise Lviv Regional Council 'Lviv Regional Infection Hospital', Fourth Diagnostic Department, Lviv, 79010, Ukraine|Ukraine Medical Stomatological Academy, Chair of Infectious Diseases with Epidemiology, Municipal Non-Commercial Enterprise 'Poltava Regional Infection Hospital Poltava Regional Council', Dept. Respiratory Infections, Poltava, 36011, Ukraine|Municipal Non-Commercial Enterprise 'Central Clinical Hospital' of Rivne City Council, Hepatic Centre - Infections, Rivne, 33018, Ukraine|Municipal Non-Commercial Enterprise 'Regional Clinical Infectional Hospital' Transcarpathian Regional Council, Dept. Infections (Adult), Uzhhorod, 88017, Ukraine|Municipal Non-Сommercial Enterprise 'Vinnytsya City Clinical Hospital #1', Infectious Department, National Pirogov Memorial Medical University, Dept. Infections, Vinnytsya, 21021, Ukraine",
