NCT Number,Study Title,Conditions
NCT04800731,Study of Lymphopenia as a Specific Biomarker or Prognostic Risk Factor for Disease Severity in Elderly Patients With COVID-19,Lymphopenia|Covid19|Older People
NCT05752331,Feasibility of Personalised Health Behaviour Coaching to Support Symptoms and Activities of Daily Living in Those With Long COVID-19.,Long COVID
NCT05381727,Pulmonary and Extrapulmonary Impairments in Patients With Post COVID-19,COVID-19
NCT05765773,An Open Comparative Study of the Effectiveness and Incomparable Study of the Immunogenicity and Safety of the Vaccine (CoviVac) for Adults Aged 60 Years and Older,Corona Virus Infection|Vaccine|COVID-19
NCT05652582,Seroprevalence of Covid-19 in the Staff of the University Hospitals of Strasbourg,COVID-19
NCT04388631,Detection Rate of SARS-CoV-2 in Male Genitourinary System and Its Impact on Male Reproductive Health.,Coronavirus Disease 2019
NCT04549831,Genetic Bases of COVID-19 Clinical Variability,COVID-19
NCT04365582,OUTpatient Treatment of COVID-19 in Patients With Risk Factor for Poor Outcome,COVID
NCT04427631,Exploring Interventions for Glue Ear During Covid-19,"Hearing Impaired Children|Glue Ear|Hearing Loss, Conductive"
NCT04365231,Hydroxychloroquine Azithromycin COVID-19 Pregnancy Trial,COVID19
NCT04560231,Remdesivir in COVID-19 Lahore General Hospital,SARS-CoV Infection
NCT05162482,Combination Assessment Trial of COVID-19 Vaccines (COMBAT-COVID),COVID 19 Vaccine
NCT05882331,Extracorporeal Photopheresis as a Possible Therapeutic Approach to Adults With Severe and Critical COVID-19,COVID-19
NCT05164731,"Clinical Study of the Third Dose Immunization Schedule of COVID-19 Inactivated Vaccine, (Vero Cells) in Adults Aged 18 Years and Above",SARS-CoV2 Infection
NCT06291831,A Study to Learn About the Use of Paxlovid in Patients With COVID-19 in the Kingdom of Bahrain.,COVID-19
NCT04866082,Corticosteroids in Severe COVID-19 (ASAP-ESICM/ESAIC Study),Severe COVID-19
NCT04473131,Immune Profiling of COVID19-patients Admitted to ICU,COVID-19
NCT04988282,Systemic Corticosteroids in Treatment of Post-COVID-19 Interstitial Lung Disease,Covid19|COVID-19 Pneumonia|Interstitial Lung Disease
NCT04816682,Silymarin in COVID-19 Patients Admitted to Hospital With Elevated Liver Enzymes,Covid19|Liver Diseases
NCT05057182,Third Dose of mRNA Vaccination to Boost COVID-19 Immunity (mBoost Study),COVID 19 Vaccine
NCT04466982,Assessment of Olfactory Dysfunction in SARS CoV-2 (COVID-19) Infection,Olfactory Disorder|COVID19|SARS-CoV-2|Anosmia|Microsomia|Smell Disorder|Quality of Life
NCT04930731,Risk Factors and Characteristics of COVID 19 Infection in Patients With Haematological Diseases,Covid19
NCT04937582,Cognitive and Psychological Disorders After Severe COVID-19 Infection,COVID 19
NCT04698382,"Impact of COVID-19 on the Incidence, Characteristics, Management and Outcome of Sepsis",Sepsis|Septic Shock
NCT05358873,Efficacy and Safety of Nasal Spray Solution Containing Human IgG1 Anti-COVID-19 Antibody Cocktail,SARS CoV 2 Infection|SARS-CoV-2 Acute Respiratory Disease
NCT04907331,Heterologous SARS-CoV-2 Vaccination With ChAdOx-1 and BNT162b2,SARS-CoV2 Infection
NCT04319731,A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure,SARS CoV-2 Infection
NCT04447131,Effect of COVID-19 on Platelet Aggregation,COVID-19|SARS-CoV-2
NCT05445531,Low-field Magnetic Resonance Imaging in Pediatric Post Covid-19,COVID-19|COVID-19 Respiratory Infection|Long COVID
NCT06404073,RECOVER-ENERGIZE Platform Protocol_Appendix B (Structured Pacing (PEM)),Long COVID|Long Covid19|Long Covid-19
NCT04540120,Safety and Efficacy of Dapansutrile for Treatment of Moderate COVID-19 Symptoms and Evidence of Early Cytokine Release Syndrome,Covid19|Cytokine Release Syndrome
NCT04327674,The Use of Focused Lung Ultrasound in Patients Suspected of COVID-19,COVID-19
NCT05218174,Exercise in Adults with Post-Acute Sequelae of SARS-CoV-2 (COVID-19) Infection Study,COVID-19
NCT04843774,Vaccine-generated Immunity in Ocrelizumab-treated Patients: Longitudinal Assessments (VIOLA),Multiple Sclerosis
NCT04465474,"Coronavirus Disease 2019 (COVID-19) During Pregnancy: Prevalence of Seroconversion, Effect on Maternal and Perinatal Outcomes and Risk of Vertical Transmission (COVID-MAP)",COVID-19
NCT04444674,COVID-19 Vaccine (ChAdOx1 nCoV-19) Trial in South African Adults With and Without HIV-infection,Coronavirus
NCT04473365,Rapid Diagnostic Profiling of SARS-CoV-2 (COVID-19),SARS-CoV-2|COVID-19
NCT05741320,Anesthetists After the Pandemic in the Eyes of the Public,Anesthesia|COVID-19 Pandemic
NCT05638620,Dual Sympathetic Blocks for Patients Experiencing Sympathetically-Mediated Symptoms From Long COVID,"Post Acute COVID-19 Syndrome|Long COVID|Long Covid19|COVID-19 Recurrent|Post-Acute COVID-19|Post-Acute COVID-19 Infection|SARS-CoV2 Infection|Post Acute Sequelae of COVID-19|Dysautonomia|Dysautonomia Like Disorder|Dysautonomia Orthostatic Hypotension Syndrome|Post COVID-19 Condition|Post-COVID Syndrome|Post COVID-19 Condition, Unspecified|Post-COVID-19 Syndrome"
NCT04459520,Effect of Availability of COVID-19 Testing on Choice to Isolate and Socially Distance,COVID-19
NCT04462120,IL-12RB and TNF-alpha Gene Polymorphism and Susceptibility and Progress of Covid-19 SARS-CoV-2: A Case Control Study,Covid-19
NCT04806620,"Solve Together: A Data Collection Platform for the Collection of Patient and Control Health Information to Support Future Research That Will Accelerate Understanding of the Causes of and Possible Treatments for ME/CFS and Other Chronic Diseases, Including Post-viral Illnesses",Post-Acute COVID-19 Syndrome|ME/CFS
NCT04558320,COVID-19 and Lactating Mothers,Coronavirus Infection
NCT04609774,Aerosol Transmission of Severe Acute Respiratory Syndrome Coronavirus of Coronavirus Disease 2019,Coronavirus Disease (COVID-19)
NCT04916574,Clinical Trial of BioBlock COVID-19 Nasal Spray Containing Anti-SARS-CoV-2 Antibodies Derived From Bovine Colostrum,SARS-COV2 Infection|Covid19
NCT04362865,Investigation of the B- and T-cell Repertoire and Immune Response in Patients With Acute and Resolved COVID-19 Infection,COVID-19
NCT04875520,Assessing Testing Strategies for Safe Return to K-12 Schools in an Underserved Population,Covid19
NCT04530474,Outpatient Use of Ivermectin in COVID-19,Covid19
NCT06341374,Impact of Sleep Disorders on Innate Immunity in COVID-19 Patients,"Apnea, Obstructive Sleep|SARS CoV 2 Infection"
NCT05703074,Mental Intervention and Nicotinamide Riboside Supplementation in Long Covid,Long COVID
NCT04347174,A Clinical Trial of Mycobacterium w in Critically Ill COVID 19 Patients,COVID-19
NCT04747574,Evaluation of the Safety of CD24-Exosomes in Patients With COVID-19 Infection,SARS-CoV-2
NCT04810065,SingStrong: Strong Lungs Through Song - Long COVID-19 Study,Long Covid
NCT05736874,ACTIV-6: COVID-19 Study of Repurposed Medications - Arm C (Fluticasone),Covid19
NCT04350320,Trial to Study the Benefit of Colchicine in Patients With COVID-19,COVID19
NCT05450120,Rehabilitation of Critically Ill Patients With SARS-CoV-2 Variants in ICU With Limited Resources,COVID-19 Acute Respiratory Distress Syndrome
NCT05911074,COVID-19 Antigen Rapid Test Evaluation in Low-Prevalence Setting,Corona Virus Infection
NCT04809974,Clinical Trial of Niagen to Examine Recovery in People With Persistent Cognitive and Physical Symptoms After COVID-19 Illness (Long-COVID),Covid19|Sequelae of; Infection|Cognitive Symptom
NCT04417374,"Caracteristics of the Patients Hospitalized With Unvonluntary Commitment Procedure, in the Context COVID-19",COVID 19|Disease Outbreak|Mental Disorders
NCT04441476,Ethical and Psychological Support for Health Care Professions in Intensive Care Units in the COVID19 Pandemic Context: Adequacy With Needs and Psychological Impact Crisis and Post-crisis,Psychological Strain
NCT04803227,Safety and Tolerability of Emricasan in Symptomatic Outpatients Diagnosed With Mild-COVID-19,Covid19
NCT04359927,Long-term Effects of Coronavirus Disease 2019 on the Cardiovascular System: CV COVID-19 Registry,Sars-CoV2|Covid19|Cardiovascular Diseases|Cardiovascular Risk Factor
NCT05308576,A Study to Evaluate the Efficacy and Safety of SCTV01E (a COVID-19 Vaccine) in Population Aged ≥18 Years,COVID-19|SARS-CoV-2 Infection
NCT04558476,Efficacy of CONvalescent Plasma in Patients With COVID-19 Treated With Mechanical Ventilation,Covid19|Mechanical Ventilation Complication|Corona Virus Infection|Respiratory Failure|SARS (Severe Acute Respiratory Syndrome)
NCT05977127,Intradermal Administration of a COVID-19 mRNA Vaccine in Elderly,Vaccination; Infection|COVID-19
NCT04547127,A Study to Evaluate Safety and Efficacy of Convalescent Methylene Blue Treated (MBT) Plasma From Donors Recovered From Coronavirus Disease 2019 (COVID-19),COVID-19
NCT04514627,Neuromodulation With Percutaneous Electrical Nerve Field Stimulation for Adults With COVID-19,COVID-19
NCT04362176,Passive Immunity Trial for Our Nation to Treat COVID-19 in Hospitalized Adults,COVID-19|Coronavirus|SARS-CoV-2
NCT04659876,Factors Affecting Mortality in Critical Patients Admitted to Intensive Care Unit Due to COVID 19,Covid19 and Mortality
NCT04661527,Sarilumab Treatment In cytoKinE Storm Caused by Infection With COVID-19,COVID-19 Drug Treatment
NCT04405076,"Dose-Confirmation Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of mRNA-1273 COVID-19 Vaccine in Adults Aged 18 Years and Older",SARS-CoV-2
NCT06330376,Diaphragmatic Breathing Exercises for Post-COVID-19 Diaphragmatic Dysfunction (DD),Post-Acute Sequelae of COVID-19
NCT04420676,Synbiotic Therapy of Gastrointestinal Symptoms During Covid-19 Infection,COVID
NCT05032976,Korea Comirnaty Post-marketing Surveillance,COVID-19|Vaccines|Adverse Effects|SARS-CoV-2|Safety
NCT04363827,Protect: Study With Hydroxychloroquine for Prevention and Early Phase Treatment of Coronavirus Disease (COVID-19),COVID19|Hydroxychloroquine|Prophylaxis|Treatment|SARS-CoV-2
NCT04961476,Use of 1-MNA to Improve Exercise Tolerance and Fatigue in Patients After COVID-19,"Covid19|Fatigue Syndrome, Chronic"
NCT05235776,New-onset Severe Headache After Covid-19 Vaccine,Headache|Migraine|COVID-19
NCT05057676,Autoimmune Intervention Mastery Course Study,Multiple Sclerosis|Clinically Isolated Syndrome|Fibromyalgia|Post Acute Sequelae of COVID-19|Cancer in Remission With Persisting Fatigue
NCT06076876,Prevalence and Risk Factors of Anxiety and Depression Among Policemen During the Health Crisis Linked to COVID-19,COVID-19|Anxiety Syndrome|Depression Syndrome|Policemen
NCT04409327,Phase 2 Study to Determine if RTB101 Reduces the Severity of COVID-19 in Older Adults Residing in Nursing Homes,COVID19
NCT05848427,The LUSZ COVID-19 Severity Index: A Prognostic and Predictive Score of Mortality for Hospitalized Patients With Covid-19,COVID-19
NCT05082727,Safety and Efficacy of Softgel KOVIR (TD0068) in the Combination Regimen With Background Treatment in COVID-19 Patients (KOVIR),COVID-19
NCT05166876,Brequinar Combined With Dipyridamole in Patients With Mild to Moderate COVID-19,COVID-19
NCT04375176,Monocytes and NK Cells Activity in Covid-19 Patients,COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2|Immunomodulation
NCT04902976,Evaluation of SARS-COV-2 Viral Load of Covid-19 Patients After Rinsing With Oral Antimicrobial Mouthwashes,Covid19
NCT04323527,Chloroquine Diphosphate for the Treatment of Severe Acute Respiratory Syndrome Secondary to SARS-CoV2,SARS-CoV Infection|Severe Acute Respiratory Syndrome (SARS) Pneumonia
NCT04522076,Prospective Hospital Registry of Patients With Suspected or Confirmed Coronavirus Infection (COVID-19) and Community-acquired Pneumonia,COVID 19
NCT04566276,ChulaCov19 Vaccine in Healthy Adults,COVID-19 Vaccine|Safety Issues
NCT04935476,Dapsone Coronavirus SARS-CoV-2 Trial (DAP-CORONA) COVID-19,COVID-19
NCT05077176,Phase 3 Booster Vaccination Against COVID-19,COVID-19|Sars-CoV-2 Infection
NCT04427176,Evaluation of ARFC Masks Equipped With CF5 Filter in the Care Unit to Allow a Wider Distribution of FFP2 Masks (Covid-19).,Nurse
NCT04930120,Assessing the Impact of COVID-19 Patients Long Distance Transfers Between Intensive Care Units,Covid19
NCT04748120,Operative vs Non-Operative Management of Acute Appendicitis and Acute Cholecystitis in COVID-19 Positive Patients,"Covid19|Appendicitis|Cholecystitis, Acute|Cholecystitis; Gallstone|Cholecystitis"
NCT04718220,"Safety, Testing/Transmission, and Outcomes in Pregnancies With COVID-19",Covid19|Pregnancy Related|Maternal Complication of Pregnancy|Coronavirus|Neonatal Infection|Prenatal Stress|Preterm Birth
NCT03891420,"A Study to Evaluate the Safety, Pharmacokinetics and Antiviral Effects of Galidesivir in Yellow Fever or COVID-19",COVID-19|Yellow Fever
NCT06128382,First-in-human Study to Evaluate the Safety and Immunogenicity of Three Dose Levels of the OVX033 Coronavirus Vaccine Candidate in Healthy Volunteers,Coronavirus
NCT04894682,Safety and Long-term Effects of COVID-19 Vaccines in Patients With Pulmonary Tumor,"Lung Cancer|Pulmonary Nodule, Solitary|Pulmonary Nodule, Multiple|COVID-19 Pneumonia|Vaccine Adverse Reaction|SARS-CoV-2 Acute Respiratory Disease"
NCT04373382,Peer Champion Support for Hospital Staff During and After the COVID-19 Pandemic,Burnout
NCT06478420,COVID-19 Omicron BA.5 Subvariant Dose Finding Infection Study,SARS-CoV-2 Infection
NCT04880720,Deciphering a Specific Signature of the Immunosenescence Induced in COVID-19+ Patients Versus Rheumatoid Arthritis Patients,SARS-Cov-2 Infection|Rheumatoid Arthritis
NCT04305574,Social Media Use During COVID-19,Coronavirus|Depression|Anxiety|Stress
NCT05030974,RECOVAC Repeated Vaccination Study,Covid19|Kidney Diseases|Vaccine Response Impaired|SARS-CoV2 Infection
NCT06134674,Early Versus Delayed Enteral Nutrition in Critically Ill Adults With COVID-19,Enteral Nutrition|COVID-19 Acute Respiratory Distress Syndrome
NCT04652674,Impact of Postoperative Telemedicine Visit vs In-person Visit on Patient Satisfaction During the COVID-19 Pandemic,"Covid19|Satisfaction, Patient|Telemedicine"
NCT06349720,Investigating Long-term Health Effects and Complications in COVID-19 Recoveries,COVID-19 Patients
NCT04858620,A Study to Evaluate the Efficacy of Xlear vs. Placebo for Acute COVID-19 Infection,Covid19
NCT05445674,"Plasma Exchange Therapy for Post- COVID-19 Condition: A Pilot, Randomized Double-Blind Study",Post-COVID19 Condition
NCT06601920,A Study of Activity Leader to Forest Therapy Campaign in Different Environments Targets on the Participants Which Had Been Infected by SARS-COV-2,Post COVID-19 Syndrome|Stress Disorders|Life Quality|Depression Anxiety Disorder
NCT05582382,Validation of Prognostic Clinical Risk Scores in Predicting Outcome for Patients With COVID-19 at Initial Triage,COVID-19
NCT05155982,"A Clinical Trial of COVAC-1, a COVID-19 Vaccine, in Generally Healthy Adults",Severe Acute Respiratory Syndrome Coronavirus 2
NCT06255860,COVID-19 and Multisystem Inflammatory Syndrome in Children (MIS-C) Risk / World Health Organization (WHO),Sars-CoV-2 Infection|MIS-C
NCT04343794,Using Biovitals® Sentinel to Monitor Disease Progression in Subjects Quarantined for Suspected COVID-19,COVID19
NCT04366960,Comparison of Two Doses of Enoxaparin for Thromboprophylaxis in Hospitalized COVID-19 Patients,Covid19
NCT04338360,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19,COVID19
NCT04395794,SARS-CoV-2 Disguise Study,Sars-CoV2
NCT05302960,Recovering From COVID-19,SARS CoV 2 Infection
NCT04491994,Clearing the Fog: Is Hydroxychloroquine Effective in Reducing COVID-19 Progression,Covid19|Progression
NCT05504460,Hydrogen-Oxygen Generator With Nebulizer for Rehabilitation Treatment of COVID-19,COVID-19|AMS-H-03|Hydrogen-oxygen Gas
NCT04529460,Healthy Volunteer COVID-19 Antibody Testing Study,Covid19
NCT06423560,Pulmonary Fibrosis After Severe COVID-19 Pneumonia,Pulmonary Fibrosis|COVID-19
NCT05364060,COVID-19 and Mental Health in Eure,COVID-19 Pandemic|Psychiatric Disorder
NCT04386694,Photobiomodulation Therapy Combined With Static Magnetic Field in Patients With COVID-19,COVID-19|Respiratory Failure
NCT04260594,Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus,2019-nCoV
NCT04924660,Novel Experimental COVID-19 Therapies Affecting Host Response,COVID-19|SARS-CoV-2 Infection|Coronavirus Infection
NCT04594460,Hydrogen-oxygen Gas Mixture Inhalation in Patients With Convalescent Coronavirus Disease 2019 (COVID-19),Covid19|Hydrogen-oxygen Gas|AMS-H-03
NCT04670094,Comorbidities and Risk Score in COVID-19 Patients,Covid19
NCT04920760,Vitamin A Supplementation in Children With Moderate to Severe COVID-19,Covid19
NCT06489860,SARS-CoV-2 Safety Study for the Treatment of COVID-19,SARS-CoV-2
NCT04734860,Study to Evaluate a Single Dose of STI-2020 (COVI-AMG™) in Adults With Mild COVID-19 Symptoms,Covid19
NCT05225194,Long-term Impact of COVID-19 Among COVID-19 Patients With Acute Respiratory Distress Syndrome in Brazil,COVID-19|ARDS
NCT05057260,LOng COvid Multidisciplinary Consortium: Optimising Treatments and servIces Across the NHS (LOCOMOTION),COVID-19
NCT04896060,The Impact of the COVID-19 Pandemic on Eating Behavior and Weight Change,COVID-19|Obesity
NCT06881160,Mi-RNA and COVID-19,COVID-19
NCT04665960,Infection Control for Severe Acute Respiratory Syndrome Coronavirus 2,Covid19|SARS-CoV Infection|SARS Pneumonia|Coronavirus Infection|Infection
NCT04598594,Evaluation of the Efficacy of Nicotine Patches in SARS-CoV2 (COVID-19) Infection in Intensive Care Unit Patients,Covid19|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere
NCT04402060,A Study of APL-9 in Adults With Mild to Moderate ARDS Due to COVID-19,COVID|Covid-19|Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome|Severe Acute Respiratory Syndrome Coronavirus 2|Sars-CoV2|Ards|Acute Respiratory Distress Syndrome
NCT04677660,A Study of TAK-919 in Healthy Japanese Adults (COVID-19),Coronavirus Disease (COVID-19)
NCT05067894,Safety and Immunogenicity of SARS-CoV-2 Protein Subunit Recombinant Vaccine,Covid19
NCT04355494,SOLIRIS® (Eculizumab) Treatment of Participants With COVID-19,"COVID-19|Pneumonia, Viral|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)"
NCT04659460,RIC as an Adjunct Therapy for Severe COVID-19 Disease: a Prospective Randomized Pilot Study,COVID|Corona Virus Infection|Acute Lung Injury|Ischemia Limb|Acute Respiratory Distress Syndrome
NCT05205460,Telerehabilitation in People With Long COVID,COVID-19
NCT04547660,Convalescent Plasma for Severe COVID-19 Patients,Covid19
NCT04816760,Immune Cells Phenotypes During COVID-19,Sars-CoV2|Innate Immunity|Immunization; Infection|Alveolar Lung Disease|Endothelial Dysfunction
NCT04387760,Favipiravir vs Hydroxychloroquine vs Control in COVID -19,SARS-CoV 2|COVID-19
NCT05122260,PREVENT-COVID-19: A Q-Griffithsin Intranasal Spray,COVID-19 Prevention
NCT04341727,"Hydroxychloroquine,Hydroxychloroquine,Azithromycin in the Treatment of SARS CoV-2 Infection",Coronavirus Infection
NCT05435027,Study of Self-Amplifying Messenger Ribonucleic Acid (samRNA) Vaccines Against COVID-19 in Healthy Adults and People Living With Human Immunodeficiency Virus (HIV),COVID-19|SARS-CoV-2
NCT04528927,"Evaluation of the Efficacy and Safety of Treatments for Patients Hospitalized for COVID-19 Infection Without Signs of Acute Respiratory Failure, in Tunisia",COVID 19|Patients Hospitalized
NCT04462627,Reduction of COVID 19 Transmission to Health Care Professionals,COVID 19
NCT04412473,COVID-19 Respiratory Distress and Antithrombotic Drugs in Subject's Habits,Sars-CoV2
NCT04365127,Progesterone for the Treatment of COVID-19 in Hospitalized Men,COVID-19|Sars-CoV2
NCT04821973,Respiratory Tele Monitoring COVID 19 (TMR COVID-19),Covid19
NCT04490473,Turkish of the SARS-CoV-2 Anxiety Scale,Anxiety|SARS-CoV Infection
NCT05375773,Povidone Iodine Nasal Irrigation and Gargling to Reduce Viral Load in Asymptomatic Patients With COVID-19,2019 Novel Coronavirus Infection
NCT05178173,Efficacy of Oral Rinses for Inactivation of COVID-19 (MOR2),COVID-19|Coronavirus Infection|SARS CoV 2 Infection
NCT05139927,Using MOST to Optimize an Intervention to Increase COVID-19 Testing for Frontline Essential Workers,COVID-19|COVID-19 Testing
NCT04344327,Early Risk Stratification of Patient Hospitalized for SARS-CoV2 Infection: Critical COVID-19 France CCF,"Infection Viral|Infection, Hospital|COVID"
NCT05014373,Philippine Trial to Determine Efficacy and Safety of Favipiravir for COVID-19,Covid19
NCT05676073,Study of SHEN26 Capsule in Patients With Mild to Moderate COVID-19,COVID-19
NCT04567173,Convalescent Plasma as Adjunctive Therapy for Hospitalized Patients With COVID-19,Covid19
NCT04416373,COVID-19 and Pregnancy Outcomes,Coronavirus Infection|Pregnancy Complications|Vertical Transmission of Infectious Disease|Breastfeeding|Neonatal Infection
NCT04992273,COVID-19 Administration of Single-Dose Subcutaneous Anti- Spike(s) SARS-CoV-2 Monoclonal Antibodies Casirivimab and Imdevimab in High-Risk Pediatric Participants Under 12 Years of Age,COVID-19
NCT04350073,Longitudinal Energy Expenditure and Metabolic Effects in Patients With COVID-19 (LEEP-COVID),COVID-19
NCT04694573,Multicenter CTS Pre-and Post-Transplantation Covid-19 Serum Studies,Covid19|Kidney Transplant; Complications|Kidney Transplant Failure and Rejection|Liver Transplant; Complications|Liver Transplant Failure and Rejection
NCT05248373,"Safety, Tolerability and Immunogenicity of Gam-COVID-Vac Vaccine in a Nasal Spray",COVID-19|SARS-CoV-2 Acute Respiratory Disease
NCT04381273,Oral Health and Psychosocial Factors During the Covid-19 Pandemic,Covid-19|Periodontal Diseases|COVID
NCT04920773,Community-based Post-exposure Prophylaxis for COVID-19,Covid19
NCT04734873,CPI-006 Plus Standard of Care Versus Placebo Plus Standard of Care in Mild to Moderately Symptomatic Hospitalized Covid-19 Patients,Covid-19
NCT04924673,Impact of the COVID-19 Epidemic on Glycemic Balance and the Level of Stress in Diabetic Patients,Diabetes
NCT04990531,Low-field Magnetic Resonance Imaging of Pediatric COVID-19,Sars-CoV-2 Infection|Lung Fibrosis|Covid19
NCT05787431,Levels of Physical Activity After SARS-CoV-2 Infection in Pre-illness Vaccinated and Unvaccinated Greek Adults.,COVID-19 (Coronavirus Disease 2019)
NCT05143320,"Cognitive, Emotional and Behavioural Impairments in Patients After Sars-Cov2 Infection",COVID-19|Sars-CoV-2 Infection
NCT04794920,Post-Covid-19 Emotional Aspects of Hospital Staff,Covid19
NCT04842331,PREvent Viral Exposure and Transmission Study: a COVID-19 (SARS-CoV-2) PEP Study (PREVENT),Respiratory Viral Infection|Respiratory Tract Diseases|COVID-19 Respiratory Infection
NCT04821531,Feasibility of a Self-guided Exercise Program Among Hospitalized COVID-19 Patients,Corona Virus Infection
NCT06113731,A PhaseⅡ Study to Evaluate the Safety and Immunogenicity of COVID-19 Vaccine,SARS-CoV-2 Infection
NCT04412382,Covid-19: Possible Role of Neutrophil Extracellular Traps,Covid-19
NCT05484882,"Genomics, Environmental Factors and Social Determinants of Cardiovascular Disease in African-Americans Study (GENE-FORECAST): Prospective COVID-19 Natural History Study",Heart Disease
NCT06544382,Rehabilitation and Return to Everyday Life for Patients With Long COVID,Long COVID
NCT04957082,Culturally-Targeted COVID-19 Communication and SARS-CoV-2 Antibody Testing Evaluation and Uptake,SARS-CoV2 Infection
NCT02880982,Trial of Vitamin D Supplementation in Cape Town Primary Schoolchildren,Latent Tuberculosis
NCT05367882,Effect of Interleukin 6 Receptor Antagonists in SARS-CoV-2 Patients,Corona Virus Infection
NCT04420182,COVID-19 Virtual Care at Home,Covid-19
NCT05258682,Safety of Nebulized Combination Therapy BromAc® in COVID-19 Respiratory Disease,COVID-19 Pneumonia|COVID-19|Ventilator Associated Pneumonia|COVID-19 Acute Respiratory Distress Syndrome
NCT04766931,The Safety and Efficacy of FB2001 in Healthy Subjects and Patients With COVID-19 Infection,Covid19
NCT04344431,Management by Hyperbaric Oxygen Therapy of Patients With Hypoxaemic Pneumonia With SARS-CoV-2 (COVID-19),Covid-19
NCT05188482,Using Vibroacoustic Therapy in a Patient With Co-infection and COVID-19,SARS CoV 2 Infection
NCT04570982,Clinical Protocol for Convalescent Plasma and Remdesivir Therapy in Nepal,COVID-19
NCT05595031,Evaluation of the Clinical Impact of Corticosteroid Duration on SARS-CoV-2 (COVID-19 WHO),Covid 19
NCT04756531,STUDY OF PF-07321332 IN HEALTHY PARTICIPANTS,Healthy Participants
NCT04941131,The Role of Chlorhexidine in Minimizing the Viral Load Among COVID-19 Patients,COVID-19
NCT04940182,A Study to Assess the Efficacy and Safety of XC221 in Patients With Mild COVID-19,Sars-CoV-2 Infection
NCT05197582,The Effect of Telemonitoring on Anxiety and Quality of Life in Patients in COVID 19 Quarantine,COVID-19 Pandemic
NCT04583982,ImmuneSense™ COVID-19 Study,Coronavirus Disease (COVID-19)|SARS-CoV-2 Infection
NCT05033782,Impact of the Modifications of Environmental Exposures and Health Care Access During COVID-19 Lockdown on Multiple Sclerosis,Multiple Sclerosis
NCT06862531,"A Single-center, Interventional Diagnostic Study With Minimal Risks and Constraints, Aimed at Longitudinally Evaluating Serum Antibody Levels in Patients With COVID-19 According to the Severity of Their Symptoms.",COVID-19
NCT05080231,COVID-19 Immunity Assessment,COVID-19
NCT05520931,Pain-related Long Covid in Covid-19 Survivors,"COVID-19|Pain, Chronic"
NCT04452682,The Impact of COVID-19 Pandemic on Critical Limb Threatening Ischemia and Emergency Vascular Practice,COVID|Critical Limb Ischemia
NCT06452082,Retrospective Observational Study on the Risk in Developing Long-COVID Syndrome and in Contracting SARS-CoV-2 Infection After COVID-19 Vaccination in Relation to Vitamin D3 Supplementation,Vitamin d Deficiency|COVID-19|Long COVID
NCT04834882,"Burnout, Stress and Coping Strategies: Impact of the Covid-19 Epidemic","Covid19|Burnout, Professional"
NCT04934020,"Global Impact of the COVID 19 Pandemic on Stroke Care, Cerebral Venous Thrombosis, and Subarachnoid Hemorrhage",Stroke
NCT05398731,Angiotensin Converting Enzyme Inhibitors and Angiotensin Receptor Blockers With Risk of COVID_19,COVID-19 Pneumonia
NCT04470531,Role of Co-trimoxazole in Severe COVID-19 Patients,Covid19|Severe COVID-19 Patients
NCT06334731,Antimicrobial Resistance During the SARS-CoV-2 (COVID-19) Pandemic,COVID-19
NCT04342182,Convalescent Plasma as Therapy for Covid-19 Severe SARS-CoV-2 Disease (CONCOVID Study),COVID-19
NCT05054582,COVID-19 Antibody Responses In Cystic Fibrosis: CAR-CF,Cystic Fibrosis|Covid19
NCT04548531,Engaging Patients in Colon Cancer Screening Decisions During COVID-19,Colon Cancer
NCT04757831,Coronavirus-19 (COVID-19) and Related Outcomes in School Aged Children (ABC Health Outcomes in Children),Covid19; MIS-C
NCT04357782,Administration of Intravenous Vitamin C in Novel Coronavirus Infection (COVID-19) and Decreased Oxygenation,COVID-19|Hypoxia
NCT06043882,Number of Participants Diagnosed With Sarcoidosis by Bronchoscopic Transbronchial Needle Aspiration After COVID- 2019 .,Sarcoidosis|COVID-19
NCT04823182,Study of HEarT DiseAse and ImmuNiTy After COVID-19 in Ireland,SARS-CoV Infection|Covid19|Cardiomyopathies
NCT04751682,Safety and Immunogenicity of an Intranasal SARS-CoV-2 Vaccine (BBV154) for COVID-19,SARS-CoV Infection
NCT04565782,Corona Virus Infection Among Liver Transplant Recipients,SARS-CoV Infection|Corona Virus Infection|Liver Transplant Recipient|COVID-19
NCT04661631,Surgery and Lung Ultrasound in COVID-19 Infection,Ultrasonography|Lung Diseases|Surgical Procedure|Covid19|Severe Acute Respiratory Syndrome Coronavirus 2
NCT04354831,Efficacy and Safety of Convalescent Plasma in Treating COVID-19 Hospitalized Patients,COVID-19
